serviceRequest,startTime,duration,status
web,26.816,0.014000,OK
web,26.844,0.014000,OK
web,26.872,0.014000,OK
web,26.900,0.014000,OK
web,26.928,0.014000,OK
web,26.956,0.014000,OK
web,26.984,0.014000,OK
web,27.012,0.014000,OK
web,27.040,0.014000,OK
web,27.068,0.014000,OK
web,27.096,0.014000,OK
web,27.124,0.014000,OK
web,27.152,0.014000,OK
web,27.180,0.014000,OK
web,27.208,0.014000,OK
web,27.236,0.014000,OK
web,27.264,0.014000,OK
web,27.292,0.014000,OK
web,27.320,0.014000,OK
web,27.348,0.014000,OK
web,27.376,0.014000,OK
web,27.404,0.014000,OK
web,27.432,0.014000,OK
web,27.460,0.014000,OK
web,27.488,0.014000,OK
web,27.516,0.014000,OK
web,27.544,0.014000,OK
web,27.572,0.014000,OK
web,27.600,0.014000,OK
web,27.628,0.014000,OK
web,27.656,0.014000,OK
web,27.684,0.014000,OK
web,27.712,0.014000,OK
web,27.740,0.014000,OK
web,27.768,0.014000,OK
web,27.796,0.014000,OK
web,27.824,0.014000,OK
web,27.852,0.014000,OK
web,27.880,0.014000,OK
web,27.908,0.014000,OK
web,27.936,0.014000,OK
web,27.964,0.014000,OK
web,27.992,0.014000,OK
web,28.020,0.014000,OK
web,28.048,0.014000,OK
web,28.076,0.014000,OK
web,28.104,0.014000,OK
web,28.132,0.014000,OK
web,28.160,0.014000,OK
web,28.188,0.014000,OK
web,28.216,0.014000,OK
web,28.244,0.014000,OK
web,28.272,0.014000,OK
web,28.300,0.014000,OK
web,28.328,0.014000,OK
web,28.356,0.014000,OK
web,28.384,0.014000,OK
web,28.412,0.014000,OK
web,28.440,0.014000,OK
web,28.468,0.014000,OK
web,28.496,0.014000,OK
web,28.524,0.014000,OK
web,28.552,0.014000,OK
web,28.580,0.014000,OK
web,28.608,0.014000,OK
web,28.636,0.014000,OK
web,28.664,0.014000,OK
web,28.692,0.014000,OK
